P28905	P28631
P28905	P28632
P28905	P37634
P28905	P60422
P28905	P60438
P28905	P60723
P28905	P61175
P28905	P75969
P29745	P07004
P29745	P09373
P29745	P0A8H6
P29745	P71243
P30014	P06959
P30128	P60438
P30745	P02359
P30745	P0A832
P30745	P0AG48
P30748	P0A7K2
P30749	P30748
P30750	P05791
P30750	P16433
P30750	P23842
P30750	P37640
P30750	P39353
P30750	P71237
P30750	Q57083
P30871	P02932
P30871	P06959
P30871	P06996
P30871	P0A7M2
P30871	P0A910
P30871	P0AFG8
P30958	P0AAD8
P30958	P24178
P31473	P00363
P31473	P09372
P31473	P0A7J3
P31473	P0A7K2
P31473	P0A7T3
P31473	P0A9P0
P31473	P0ABD8
P31473	P18956
P31473	P24182
P31473	P52095
P31663	P07024
P31663	P31057
P31697	Q83UM2
P31806	P06959
P31806	P0A9P0
P32053	P06959
P32053	P0A8H6
P32099	P0AEJ2
P32099	P45579
P32125	P30749
P32173	P61175
P32177	P06959
P32177	P0A8N5
P32177	P0A9P0
P32177	P0AFG8
P33012	P0AES4
P33224	P02358
P33224	P02359
P33224	P06959
P33224	P0A7K6
P33224	P0A7L0
P33224	P0A7M2
P33224	P0AA10
P33224	P0AG48
P33224	P0AG59
P33224	P60438
P33224	P61175
P33593	P0AFG8
P33594	P02359
P33594	P10408
P33594	P21507
P33594	P60422
P33916	P0A9P0
P33916	P10443
P33916	P39199
P33916	P60438
P33916	P76027
P33927	P0ABM9
P33937	P07024
P33937	P0A7M2
P33937	P0A9I5
P33937	P0A9P0
P33937	P0AFG8
P33937	P0AG59
P33937	P31663
P36659	P02359
P36659	P0A7K2
P36659	P0A7K6
P36659	P0A7L0
P36659	P0A7M6
P36659	P0A7N9
P36659	P0A7R1
P36659	P0A7S9
P36659	P0A7T3
P36659	P0A817
P36659	P0A9J6
P36659	P0A9P6
P36659	P0AG55
P36659	P0AG67
P36659	P0AG80
P36659	P21507
P36659	P22523
P36659	P30871
P36659	P33224
P36659	P39293
P36659	P45531
P36659	P60422
P36659	P60438
P36659	P60624
P36659	P60723
P36659	P61175
P36659	P62399
P36659	P63284
P36659	P77625
P36979	P02358
P36979	P02359
P36979	P02413
P36979	P02921
P36979	P02932
P36979	P02942
P36979	P05055
P36979	P06959
P36979	P06993
P36979	P06996
P36979	P08400
P36979	P08622
P36979	P0A7G6
P36979	P0A7K2
P36979	P0A7K6
P36979	P0A7L0
P36979	P0A7L3
P36979	P0A7L8
P36979	P0A7M2
P36979	P0A7M6
P36979	P0A7R1
P36979	P0A7R5
P36979	P0A7T3
P36979	P0A7T7
P36979	P0A817
P36979	P0A8M6
P36979	P0A8N5
P36979	P0A9P0
P36979	P0A9P6
P36979	P0AA10
P36979	P0ACP1
P36979	P0ADQ7
P36979	P0ADZ0
P36979	P0AEH5
P36979	P0AFG8
P36979	P0AG48
P36979	P0AG55
P36979	P0AG59
P36979	P0AG67
P36979	P0C018
P36979	P10408
P36979	P14081
P36979	P21507
P36979	P21513
P36979	P30871
P36979	P31119
P36979	P33021
P36979	P33599
P36979	P37192
P36979	P37634
P36979	P43329
P36979	P60422
P36979	P60438
P36979	P60624
P36979	P60723
P36979	P61175
P36979	P62399
P36979	P63284
P36979	P71238
P36979	P75864
P36979	P76104
P36995	P06959
P36995	P0A7K2
P36995	P0A7R5
P36995	P0A978
P36995	P0A9P0
P36995	P0ABH7
P36995	P0AFG8
